model,R2,RMSE,MSE,MAE
nn_zero_inflated_experiments,0.7850994173517374,0.1529509218494918,,
nn_dense_1,0.794199962492701,0.14967732990015808,0.022403303086040754,0.06542086257278307
nn_dense_2,0.7940561139910884,0.14972963090757907,0.022418962371719853,0.06604863244879176
nn_dense_3,0.7943364640150729,0.149627683231896,0.02238844358934462,0.07112615767885364
xgb_baseline,0.7923388992533807,0.14813619129195565,0.02194433117048688,0.06995093926933789
